date,pred_w_speed,pred_w_dir,pred_temp,pred_pressure,pred_humidity,ture_w_speed,target
2020-01-01 00:00:00,5.1,248.0,-5.6,1031.0,38.0,3.5,1.857
2020-01-01 00:15:00,5.1,248.0,-5.6,1031.0,38.0,3.6,2.218
2020-01-01 00:30:00,5.0,249.0,-5.5,1030.0,39.0,3.8,2.571
2020-01-01 00:45:00,5.0,249.0,-5.5,1030.0,39.0,3.8,2.795
2020-01-01 01:00:00,5.0,249.0,-5.5,1030.0,39.0,4.2,4.024
2020-01-01 01:15:00,5.0,249.0,-5.5,1030.0,39.0,4.0,3.62
2020-01-01 01:30:00,5.1,249.0,-5.4,1030.0,38.0,4.0,3.663
2020-01-01 01:45:00,5.1,249.0,-5.4,1030.0,38.0,4.4,5.087
2020-01-01 02:00:00,5.1,249.0,-5.4,1030.0,38.0,4.3,5.044
2020-01-01 02:15:00,5.1,250.0,-5.4,1030.0,38.0,4.1,4.207
2020-01-01 02:30:00,5.1,252.0,-5.4,1030.0,37.0,3.5,1.669
2020-01-01 02:45:00,5.0,253.0,-5.4,1030.0,37.0,3.0,0.645
2020-01-01 03:00:00,5.0,255.0,-5.5,1030.0,37.0,2.6,0.341
2020-01-01 03:15:00,4.8,258.0,-5.7,1030.0,36.0,2.2,0.041
2020-01-01 03:30:00,4.7,261.0,-5.8,1029.0,36.0,2.5,0.122
2020-01-01 03:45:00,4.5,265.0,-6.0,1029.0,35.0,3.3,0.862
2020-01-01 04:00:00,4.3,269.0,-6.2,1029.0,35.0,3.5,2.187
2020-01-01 04:15:00,4.1,270.0,-6.4,1029.0,34.0,3.2,1.267
2020-01-01 04:30:00,3.9,271.0,-6.7,1029.0,34.0,3.0,0.8859999999999999
2020-01-01 04:45:00,3.7,275.0,-6.9,1029.0,33.0,3.1,0.752
2020-01-01 05:00:00,3.5,277.0,-7.1,1029.0,33.0,3.1,0.889
2020-01-01 05:15:00,3.3,279.0,-7.2,1029.0,33.0,3.2,1.175
2020-01-01 05:30:00,3.2,279.0,-7.4,1029.0,32.0,3.0,0.7340000000000001
2020-01-01 05:45:00,3.1,281.0,-7.5,1029.0,32.0,2.8,0.26
2020-01-01 06:00:00,2.9,282.0,-7.6,1029.0,32.0,2.6,-0.049
